name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Tel Aviv,Israel",2022-05-16,25,14.9,20.6,25,14.9,20.6,14.1,68.2,0,0,0,,0,0,19.8,20.5,231.4,1017.1,25.3,10.1,530.6,28.8,10,,2022-05-16T05:42:54,2022-05-16T19:31:59,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40180099999,40183099999,C0641,D5LJ2,LLBG,40179099999"
"Tel Aviv,Israel",2022-05-17,26.9,17,21.9,27.1,17,21.9,15.8,70.1,0,0,0,,0,0,23,18.4,218.2,1014.9,22.7,9.9,504.3,11,9,,2022-05-17T05:42:16,2022-05-17T19:32:40,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40180099999,40183099999,C0641,D5LJ2,LLBG,40179099999"
"Tel Aviv,Israel",2022-05-18,26.4,15.8,21.6,26.4,15.8,21.6,15.2,68.5,0,0,0,,0,0,22.3,20.5,235.9,1013.5,10.1,9.8,557.5,30,10,,2022-05-18T05:41:39,2022-05-18T19:33:21,0.54,Clear,Clear conditions throughout the day.,clear-day,"40180099999,40183099999,C0641,D5LJ2,LLBG,40179099999"
"Tel Aviv,Israel",2022-05-19,27,18.5,22.6,27.7,18.5,22.6,15.6,66.4,0,0,0,,0,0,21.6,24.1,231.9,1013.7,22.2,8,558.4,30.2,10,,2022-05-19T05:41:03,2022-05-19T19:34:02,0.58,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"40180099999,40183099999,C0641,D5LJ2,LLBG,40179099999"
"Tel Aviv,Israel",2022-05-20,33,15.8,24.7,31.3,15.8,24.3,12.3,50.3,0,0,0,,0,0,30.2,27.7,252.6,1011.9,7,10,554.7,29.9,10,,2022-05-20T05:40:29,2022-05-20T19:34:42,0.63,Clear,Clear conditions throughout the day.,clear-day,"40180099999,40183099999,C0641,D5LJ2,LLBG,40179099999"
"Tel Aviv,Israel",2022-05-21,34.7,18.1,25.8,32.2,18.1,25.3,11.3,43.8,0,0,0,,0,0,46.4,27.7,172.6,1009.3,16.4,9.3,443.5,17.5,8,,2022-05-21T05:39:56,2022-05-21T19:35:22,0.68,Clear,Clear conditions throughout the day.,clear-day,"40180099999,40183099999,C0641,D5LJ2,LLBG,40179099999"
"Tel Aviv,Israel",2022-05-22,25.4,20.6,22.8,25.4,20.6,22.8,13.4,58.4,0,0,0,,0,0,32.8,33.5,236,1010.8,29.4,10.1,524.6,28.2,10,,2022-05-22T05:39:24,2022-05-22T19:36:02,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40180099999,40183099999,C0641,D5LJ2,LLBG,40179099999"
"Tel Aviv,Israel",2022-05-23,25,18.7,21.9,25,18.7,21.9,15.4,66.8,0,0,0,,0,0,36.7,24.1,220.5,1010.7,37.6,10,513.5,27.7,10,,2022-05-23T05:38:54,2022-05-23T19:36:41,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40180099999,40183099999,C0641,D5LJ2,LLBG,40179099999"
"Tel Aviv,Israel",2022-05-24,27.1,16.6,22.5,27.5,16.6,22.6,14.6,62.3,0,0,0,,0,0,24.5,20.5,216.9,1012,3.5,10,547,29.6,10,,2022-05-24T05:38:26,2022-05-24T19:37:19,0.85,Clear,Clear conditions throughout the day.,clear-day,"40180099999,40183099999,C0641,D5LJ2,LLBG,40179099999"
"Tel Aviv,Israel",2022-05-25,27,17.6,22.6,27.7,17.6,22.6,16.5,69.9,0,0,0,,0,0,25.6,20.5,201,1014.1,12.5,10,496.9,26.9,10,,2022-05-25T05:37:59,2022-05-25T19:37:58,0.89,Clear,Clear conditions throughout the day.,clear-day,"40180099999,40183099999,C0641,D5LJ2,LLBG,40179099999"
