name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Tel Aviv,Israel",2021-09-01,32.1,24.3,28.4,34.6,24.3,30,20.4,62.7,0,0,0,,,,,21.3,231.4,1009.2,22.9,10,264.8,22.8,9,,2021-09-01T06:16:03,2021-09-01T19:05:08,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40180099999,40183099999,C0641,LLBG,40179099999"
"Tel Aviv,Israel",2021-09-02,32,23.8,28.1,34.1,23.8,29.3,20.1,62.7,0,0,0,,,,,17.3,254.2,1008.4,25.5,10.3,274.2,23.8,9,,2021-09-02T06:16:40,2021-09-02T19:03:52,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40180099999,40183099999,C0641,LLBG,40179099999"
"Tel Aviv,Israel",2021-09-03,31.8,24,27.8,33.4,24,28.9,20,63.5,0,0,0,,,,,18.2,216.8,1007.7,24.7,10,273.3,23.7,9,,2021-09-03T06:17:17,2021-09-03T19:02:36,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40180099999,40183099999,C0641,LLBG,40179099999"
"Tel Aviv,Israel",2021-09-04,33,23.3,28.3,34.2,23.3,29.6,19.9,61.7,0,0,0,,,,,21,224.3,1008.2,17.4,10.3,276.2,23.9,9,,2021-09-04T06:17:54,2021-09-04T19:01:20,0.97,Clear,Clear conditions throughout the day.,clear-day,"40180099999,40183099999,C0641,LLBG,40179099999"
"Tel Aviv,Israel",2021-09-05,32.4,23.8,28.3,33.8,23.8,29.3,19.8,61.4,0,0,0,,,,,20.9,222,1009,24.8,10,268.8,23.2,9,,2021-09-05T06:18:31,2021-09-05T19:00:03,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40180099999,40183099999,C0641,LLBG,40179099999"
"Tel Aviv,Israel",2021-09-06,31.7,23.1,27.3,32.9,23.1,28.1,19,61.2,0,0,0,,,,,20.5,234.3,1010.1,35.6,10.7,259.7,22.4,9,,2021-09-06T06:19:08,2021-09-06T18:58:45,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40180099999,40183099999,C0641,LLBG,40179099999"
"Tel Aviv,Israel",2021-09-07,31.3,22.8,27,32.6,22.8,27.7,19,62.2,2.67,100,4.17,rain,,,,17.2,233.3,1012.7,30.3,10,269.8,23.3,9,,2021-09-07T06:19:45,2021-09-07T18:57:28,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"40180099999,40183099999,C0641,LLBG,40179099999"
"Tel Aviv,Israel",2021-09-08,31.8,22.4,27.2,33.5,22.4,28.2,19.5,64.2,0,0,0,,,,,55.9,206.8,1013.2,13.9,10,278.8,24.1,9,,2021-09-08T06:20:22,2021-09-08T18:56:10,0.01,Clear,Clear conditions throughout the day.,wind,"40180099999,40183099999,C0641,LLBG,40179099999"
"Tel Aviv,Israel",2021-09-09,35,21.4,28.3,37,21.4,29.6,19.1,59.4,0,0,0,,,,,18.3,173.5,1011.3,0,10,266.3,22.9,9,,2021-09-09T06:20:59,2021-09-09T18:54:51,0.04,Clear,Clear conditions throughout the day.,clear-day,"40180099999,40183099999,C0641,LLBG,40179099999"
"Tel Aviv,Israel",2021-09-10,30.4,26.7,28.3,33,27.7,30.1,20.3,62.4,0,0,0,,,,,22.4,274.6,1012.6,48.3,10.7,183.9,15.8,9,,2021-09-10T06:21:36,2021-09-10T18:53:33,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40180099999,40183099999,C0641,LLBG,40179099999"
"Tel Aviv,Israel",2021-09-11,30.2,24.9,27.3,30.7,24.9,27.6,17.5,55.5,0,0,0,,,,,25.9,279.1,1011.8,43.1,10,217.8,18.8,10,,2021-09-11T06:22:12,2021-09-11T18:52:14,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40180099999,40183099999,C0641,LLBG,40179099999"
"Tel Aviv,Israel",2021-09-12,30.2,22.6,26.5,31.2,22.6,26.9,17.7,59.1,0,0,0,,,,,22.8,236.4,1010.4,39.8,10,225.6,19.5,9,,2021-09-12T06:22:49,2021-09-12T18:50:55,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40180099999,40183099999,C0641,LLBG,40179099999"
"Tel Aviv,Israel",2021-09-13,34.7,21.1,28.1,32.8,21.1,27.3,13.6,46.3,0,0,0,,,,,14.3,221.8,1008.8,0.9,10,260.8,22.6,9,,2021-09-13T06:23:26,2021-09-13T18:49:36,0.23,Clear,Clear conditions throughout the day.,clear-day,"40180099999,40183099999,C0641,LLBG,40179099999"
"Tel Aviv,Israel",2021-09-14,31.4,24.1,27.7,33.7,24.1,28.7,18,56.1,0,0,0,,,,,20.5,234.5,1010.1,21.5,10,256.8,22.1,9,,2021-09-14T06:24:03,2021-09-14T18:48:16,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40180099999,40183099999,C0641,LLBG,40179099999"
