"Date";"Designation";"Day of the week";"Calendar week";
"25.02.2021";"Fast of Esther (Ta'anit Ester)";"Thu";"week 08"
"26.02.2021";"Purim";"Fri";"week 08"
"28.03.2021";"Pesach";"Sun";"week 12"
"29.03.2021";"Pesach";"Mon";"week 13"
"30.03.2021";"Pesach Chol Hamoed";"Tue";"week 13"
"31.03.2021";"Pesach Chol Hamoed";"Wed";"week 13"
"01.04.2021";"Pesach Chol Hamoed";"Thu";"week 13"
"02.04.2021";"Pesach Chol Hamoed";"Fri";"week 13"
"03.04.2021";"Pesach (Final Holiday)";"Sat";"week 13"
"04.04.2021";"Pesach (Final Holiday)";"Sun";"week 13"
"17.04.2021";"Israel Independence Day (Yom Ha-Atzmaut)";"Sat";"week 15"
"17.05.2021";"Shavuot (Pentecost)";"Mon";"week 20"
"18.05.2021";"Shavuot (Pentecost)";"Tue";"week 20"
"27.06.2021";"Seventeenth of Tammuz fast (Shiv'a Asar b'Tammuz)";"Sun";"week 25"
"18.07.2021";"Ninth of Av fast (Tish'a b'Av)";"Sun";"week 28"
"07.09.2021";"Rosh Hashana (New Year)";"Tue";"week 36"
"08.09.2021";"Rosh Hashana (New Year)";"Wed";"week 36"
"09.09.2021";"Fast Day of Gedaliah (Tzom Gedalya)";"Thu";"week 36"
"16.09.2021";"Day of Atonement (Yom Kippur)";"Thu";"week 37"
"21.09.2021";"Feast of Tabernacles (Sukkot)";"Tue";"week 38"
"22.09.2021";"Feast of Tabernacles (Sukkot)";"Wed";"week 38"
"23.09.2021";"Sukkot Chol Hamoed";"Thu";"week 38"
"24.09.2021";"Sukkot Chol Hamoed";"Fri";"week 38"
"25.09.2021";"Sukkot Chol Hamoed";"Sat";"week 38"
"26.09.2021";"Sukkot Chol Hamoed";"Sun";"week 38"
"27.09.2021";"Sukkot Chol Hamoed";"Mon";"week 39"
"28.09.2021";"Sh'mini Atzeret";"Tue";"week 39"
"29.09.2021";"Simchat Tora";"Wed";"week 39"
"29.11.2021";"Chanukka";"Mon";"week 48"
"30.11.2021";"Chanukka";"Tue";"week 48"
"01.12.2021";"Chanukka";"Wed";"week 48"
"02.12.2021";"Chanukka";"Thu";"week 48"
"03.12.2021";"Chanukka";"Fri";"week 48"
"04.12.2021";"Chanukka";"Sat";"week 48"
"05.12.2021";"Chanukka";"Sun";"week 48"
"06.12.2021";"Chanukka";"Mon";"week 49"
"14.12.2021";"Asara b'Tevet";"Tue";"week 50"
"16.03.2022";"Fast of Esther (Ta'anit Ester)";"Wed";"week 11"
"17.03.2022";"Purim";"Thu";"week 11"
"16.04.2022";"Pesach";"Sat";"week 15"
"17.04.2022";"Pesach";"Sun";"week 15"
"18.04.2022";"Pesach Chol Hamoed";"Mon";"week 16"
"19.04.2022";"Pesach Chol Hamoed";"Tue";"week 16"
"20.04.2022";"Pesach Chol Hamoed";"Wed";"week 16"
"21.04.2022";"Pesach Chol Hamoed";"Thu";"week 16"
"22.04.2022";"Pesach (Final Holiday)";"Fri";"week 16"
"23.04.2022";"Pesach (Final Holiday)";"Sat";"week 16"
